DateTime,AddedIPs,RemovedIPs
1585094739,1,2
1585098340,0,1
1585105540,1,2
1585109139,2,2
1585112737,0,1
1585116340,0,1
1585119934,0,2
1585123535,1,1
1585127133,0,13
1585130727,0,10
1585134328,1,3
1585137937,24,7
1585141531,1,18
1585145125,1,8
1585148724,1,12
1585152324,1,2
1585155922,1,2
1585159514,1,24
1585163112,0,2
1585166712,0,1
1585173912,0,1
1585177517,2,2
1585181110,1,1
1585184710,0,1
1585191914,1,0
1585199111,1,0
1585202719,0,1
1585209910,0,1
1585213512,1,1
1585220709,1,2
1585224319,25,0
1585245917,0,3
1585249508,0,22
1585256708,1,1
1585263908,2,2
1585267506,0,3
1585271107,1,1
1585281903,0,11
1585285494,0,28
1585289093,2,1
1585292694,0,2
1585296289,0,1
1585299891,1,1
1585307089,1,0
1585310690,0,1
1585314295,3,0
1585321495,0,1
1585325092,0,1
1585328703,27,0
1585332301,1,2
1585335901,1,2
1585339500,1,2
1585343101,1,0
1585350300,1,0
1585353895,0,14
1585357487,1,14
1585361084,0,4
1585364683,2,2
1585368285,1,1
1585371883,1,1
1585375491,0,1
1585379086,3,2
1585382682,0,3
1585386284,1,1
1585389883,1,2
1585397081,1,2
1585400681,1,1
1585404280,0,1
1585407880,0,1
1585411479,1,1
1585415085,20,4
1585418685,2,1
1585425889,2,0
1585429489,1,1
1585440280,0,16
1585443875,0,12
1585447477,1,2
1585451072,0,1
1585454669,2,3
1585458265,0,2
1585461868,1,1
1585465463,0,3
1585476264,1,1
1585479860,0,2
1585483460,1,0
1585487060,0,2
1585490660,0,1
1585494258,0,2
1585497855,1,2
1585501454,0,1
1585505052,0,2
1585508651,0,1
1585515849,2,3
1585519454,0,3
1585530248,4,1
1585533848,22,24
1585537447,0,1
1585555447,0,1
1585559048,1,0
1585562646,1,1
1585573446,1,3
1585591469,1,1
1585598649,2,0
1585602247,0,1
1585605846,2,3
1585609449,1,1
1585613047,2,1
1585616647,3,1
1585620262,25,1
1585627461,2,1
1585631064,4,2
1585634665,1,1
1585638265,1,1
1585645465,0,1
1585649065,1,0
1585652672,4,2
1585656266,1,24
1585659868,5,2
1585663470,0,1
1585667066,1,2
1585670665,1,0
1585674264,0,1
1585677865,1,1
1585681464,0,1
1585685061,0,2
1585688661,2,2
1585692258,0,4
1585695860,1,0
1585699461,1,1
1585703062,2,0
1585706674,20,0
1585710271,0,2
1585713870,0,2
1585717469,1,2
1585721069,0,1
1585724669,2,1
1585728268,1,2
1585731869,1,0
1585735475,1,0
1585739070,3,2
1585742657,0,26
1585746256,0,1
1585749858,2,2
1585753457,0,4
1585757057,3,1
1585760655,0,1
1585764257,1,0
1585767864,4,0
1585771465,3,0
1585775066,2,0
1585778667,1,0
1585782267,1,1
1585785880,10,0
1585789480,1,1
1585796681,1,1
1585803878,0,1
1585807484,2,0
1585811087,3,1
1585814686,1,0
1585818287,0,1
1585821891,3,0
1585825493,1,1
1585829081,0,26
1585836283,1,0
1585839896,21,0
1585843502,10,0
1585847105,2,0
1585850707,1,0
1585857907,2,1
1585861511,1,0
1585865113,2,1
1585868713,1,1
1585872316,4,0
1585875914,1,2
1585879524,4,0
1585883122,1,0
1585886723,1,1
1585890324,1,0
1585893925,1,0
1585901129,4,0
1585904732,2,1
1585911929,1,2
1585919130,0,1
1585922740,20,0
1585926341,2,0
1585929949,23,0
1585933537,0,24
1585937136,0,1
1585940738,1,1
1585944335,0,1
1585947936,0,1
1585951536,2,2
1585958735,0,1
1585962335,1,0
1585965935,1,0
1585969534,0,1
1585973134,1,1
1585976730,0,1
1585983930,0,1
1585991131,1,0
1586001932,0,2
1586005529,0,1
1586009130,1,2
1586012730,1,1
1586019923,1,22
1586023526,1,4
1586027136,22,0
1586030729,1,3
1586034330,1,2
1586037930,1,0
1586041532,1,0
1586048733,1,1
1586052332,0,1
1586063131,1,1
1586066730,0,1
1586073928,0,1
1586077530,1,0
1586081129,0,2
1586084727,0,1
1586088329,2,1
1586091932,1,0
1586099130,0,1
1586106327,0,2
1586113529,1,1
1586117128,1,0
1586120729,1,1
1586127933,21,0
1586135134,0,2
1586138727,0,18
1586142328,1,0
1586149525,0,1
1586156724,1,1
1586160323,1,0
1586163925,0,1
1586167525,0,1
